T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
30,30,36,33,27,40,33,45,24,31,36,34,33,30,25,32,36,30,22,50,25,29,24,24,22,35,24,29,27,24
31,31,38,35,27,40,33,46,25,32,37,34,33,30,25,32,36,30,22,51,27,29,24,26,23,37,26,29,27,26
31,32,38,36,27,40,33,47,26,32,38,34,35,30,25,32,37,30,22,52,27,29,26,26,23,37,27,29,29,27
32,32,39,38,27,41,33,47,27,32,38,35,35,32,25,32,38,31,22,53,27,30,27,27,23,39,29,31,30,29
33,32,40,38,27,42,33,47,27,32,38,36,35,33,25,32,38,31,22,54,27,30,27,27,23,39,29,31,30,29
33,33,40,38,29,43,33,47,28,33,38,37,37,33,26,32,38,31,23,55,29,30,27,28,25,40,29,31,30,29
34,33,41,38,29,43,34,49,29,34,39,38,37,33,26,32,39,31,24,56,29,30,28,28,25,41,30,31,31,30
36,34,41,38,30,43,34,49,30,36,39,39,37,33,26,32,40,31,24,57,29,30,29,28,25,41,32,31,32,32
37,34,42,38,32,45,35,51,31,36,40,39,38,34,27,32,41,31,24,58,30,30,30,28,25,42,32,31,33,32
37,35,42,38,34,46,35,52,31,36,40,40,39,35,27,33,41,31,26,59,30,30,32,29,26,42,33,31,34,33
37,35,42,38,34,47,36,53,31,36,41,40,41,36,29,33,42,31,27,60,30,30,34,29,27,42,33,31,35,33
37,35,42,38,34,47,36,53,31,36,41,42,42,37,30,33,42,31,27,61,30,30,35,30,28,42,33,31,36,33
37,35,44,38,36,47,36,54,33,36,41,42,43,38,30,34,42,31,27,62,30,31,35,31,28,42,34,31,37,34
37,36,46,39,36,48,36,54,34,36,41,44,44,38,30,34,42,31,27,63,30,31,35,31,28,42,36,31,37,36
37,38,46,39,37,49,37,55,35,36,41,44,45,40,30,35,42,31,28,64,32,31,35,32,29,42,37,31,38,37
37,40,46,40,38,51,37,55,35,36,41,44,46,40,31,35,42,31,28,65,33,31,35,32,29,42,37,31,38,37
37,41,47,40,38,52,38,56,35,36,43,44,47,40,32,36,42,31,28,66,33,32,36,32,29,43,39,31,38,39
37,41,49,40,38,53,38,56,35,37,44,44,48,40,32,37,42,31,28,67,33,32,36,32,29,45,39,31,39,39
37,41,51,40,38,55,38,57,35,39,44,44,49,42,32,37,42,31,28,68,34,34,38,32,30,46,40,31,39,40
39,42,51,42,38,55,39,57,36,41,44,44,50,42,32,37,42,31,29,69,34,35,39,33,30,46,40,31,41,40
39,43,52,42,38,55,40,57,37,41,46,44,51,42,34,37,42,31,29,70,36,35,39,34,32,46,40,31,42,40
39,43,52,42,38,55,42,57,39,41,47,44,52,43,35,37,42,32,29,71,36,36,39,35,33,47,40,31,42,40
40,44,52,42,39,55,44,58,41,42,48,45,53,44,35,37,42,33,30,72,36,36,39,37,34,47,40,31,43,40
40,44,52,42,39,55,46,58,41,42,48,46,53,44,35,38,43,35,30,73,36,37,39,39,35,49,41,31,43,41
40,44,52,42,39,56,46,58,42,42,48,46,53,44,35,39,43,36,30,74,36,37,39,39,36,51,42,31,44,42
42,44,53,43,39,57,46,58,43,43,48,46,53,44,35,40,44,37,30,75,37,38,40,39,36,53,42,31,45,42
42,44,53,43,39,57,47,58,43,44,48,46,54,45,35,40,44,38,30,76,37,38,41,39,37,55,42,31,46,42
42,44,53,44,39,57,47,58,44,45,48,46,55,47,35,40,45,38,30,77,37,38,41,40,37,55,44,31,48,44
43,45,53,44,39,57,48,58,46,45,49,47,56,48,35,40,45,38,30,78,38,38,42,40,37,55,45,31,50,45
43,45,55,45,40,58,48,58,46,45,49,48,56,48,35,40,46,39,31,79,39,40,43,40,37,55,46,31,50,46
43,45,56,45,42,59,48,58,46,46,49,49,56,48,35,42,48,39,32,80,41,41,43,40,37,55,47,31,50,47
44,46,58,45,42,59,48,58,47,46,49,49,58,48,35,43,48,39,33,81,42,41,43,41,39,55,48,31,50,48
45,46,58,45,42,59,49,59,47,46,49,49,59,50,36,43,48,40,33,82,43,42,43,41,40,55,48,31,51,48
45,46,58,45,43,61,50,61,48,46,49,49,59,50,36,43,48,40,33,83,44,42,43,41,41,55,48,31,52,48
45,46,60,46,44,62,51,63,48,46,50,51,60,50,36,44,49,42,33,84,45,43,45,41,41,56,48,31,52,48
47,46,60,48,44,62,52,64,49,47,51,51,60,50,36,45,49,43,34,85,45,43,46,42,41,56,49,31,52,49
47,47,60,50,46,62,52,64,49,47,51,52,61,50,38,46,49,45,35,86,45,43,46,43,42,56,49,31,53,49
48,47,61,51,46,63,52,66,49,47,51,52,62,50,38,46,49,46,36,87,46,44,46,44,44,56,49,31,53,49
48,47,63,51,48,64,54,66,49,48,51,52,64,50,38,46,49,48,36,88,47,45,46,46,44,57,49,31,53,49
48,47,64,51,49,65,54,67,49,49,52,52,66,50,39,46,49,48,36,89,49,46,47,48,45,58,51,31,53,51
50,48,66,51,50,66,55,68,49,49,52,52,67,51,41,47,49,48,36,90,51,46,47,48,45,59,51,31,53,51
50,48,66,51,50,66,56,68,49,49,52,53,68,52,41,47,49,50,38,91,51,46,49,48,46,60,51,31,53,51
51,50,66,52,52,66,57,68,49,50,52,53,68,52,41,47,49,50,38,92,52,46,51,48,46,61,51,31,53,51
52,51,68,53,53,66,58,68,49,50,52,53,68,52,42,47,50,50,38,93,54,48,52,48,46,62,52,31,53,52
52,52,69,54,54,67,58,68,50,50,52,53,68,52,43,47,50,50,38,94,54,48,53,48,47,62,53,31,53,53
52,52,71,54,54,68,58,69,50,51,52,53,68,52,43,47,52,50,38,95,54,49,53,50,49,62,53,31,53,53
52,52,71,55,54,68,58,70,51,52,53,54,69,54,43,47,52,51,39,96,56,49,54,51,49,63,53,31,53,53
52,54,71,55,54,70,58,71,51,53,53,56,69,55,45,47,52,51,40,97,57,51,54,51,50,64,53,31,53,53
52,54,71,55,54,70,58,71,51,53,53,56,69,55,45,47,52,51,40,98,57,51,54,51,50,64,53,31,53,53
