T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,0.5,1,1,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1
1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,1,0.6666666667,1,1,0.6666666667,0.6666666667,1,0.6666666667,1,0.6666666667,1,1,0.6666666667,0.6666666667,1,1,1,1,0.6666666667,1,0.6666666667
1,0.75,1,1,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,0.75,0.5,1,1,0.75,0.5,1,0.75,0.75,0.75,0.75,0.75,0.75
0.8,0.6,1,1,0.6,0.6,0.4,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.6,0.6,0.6,0.4,1,0.8,0.6,0.4,1,0.6,0.8,0.6,0.6,0.6,0.6
0.6666666667,0.6666666667,1,0.8333333333,0.5,0.6666666667,0.3333333333,0.6666666667,0.6666666667,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.6666666667,0.6666666667,0.5,0.6666666667,0.3333333333,1,0.6666666667,0.6666666667,0.3333333333,0.8333333333,0.5,0.8333333333,0.6666666667,0.5,0.5,0.6666666667
0.5714285714,0.7142857143,0.8571428571,0.7142857143,0.5714285714,0.7142857143,0.4285714286,0.5714285714,0.5714285714,0.7142857143,0.7142857143,0.7142857143,0.7142857143,0.8571428571,0.5714285714,0.5714285714,0.4285714286,0.5714285714,0.2857142857,0.8571428571,0.7142857143,0.5714285714,0.2857142857,0.7142857143,0.5714285714,0.8571428571,0.5714285714,0.5714285714,0.4285714286,0.7142857143
0.5,0.75,0.75,0.625,0.5,0.625,0.375,0.5,0.5,0.75,0.625,0.625,0.625,0.75,0.625,0.625,0.375,0.5,0.25,0.75,0.625,0.5,0.375,0.75,0.5,0.75,0.5,0.5,0.375,0.625
0.5555555556,0.7777777778,0.7777777778,0.6666666667,0.4444444444,0.5555555556,0.3333333333,0.4444444444,0.5555555556,0.7777777778,0.6666666667,0.6666666667,0.5555555556,0.6666666667,0.5555555556,0.5555555556,0.4444444444,0.5555555556,0.3333333333,0.6666666667,0.5555555556,0.5555555556,0.3333333333,0.7777777778,0.5555555556,0.6666666667,0.4444444444,0.5555555556,0.3333333333,0.5555555556
0.6,0.7,0.7,0.6,0.4,0.6,0.4,0.4,0.6,0.7,0.6,0.6,0.5,0.6,0.5,0.5,0.4,0.5,0.3,0.6,0.6,0.5,0.4,0.7,0.5,0.6,0.5,0.6,0.4,0.5
