A1,A2,A3,A4,A5
56.6666666667,56.5,62.5833333333,58.0833333333,58.55
58,54.3333333333,58.3333333333,59.8333333333,63.4666666667
55.5,56.3333333333,57.1666666667,63.0833333333,57.2166666667
57.5,54.9166666667,60.3333333333,56.1666666667,55.8
54.5,57.4166666667,60.1666666667,56.6666666667,58.9666666667
54.6666666667,56.5,55.4166666667,58.0833333333,60.7166666667
56.5,52.9166666667,59.1666666667,57.5,59.8
54.5,53.25,53.5833333333,57.0833333333,57.3833333333
55.0833333333,54.25,58.4166666667,56.9166666667,58.2166666667
57.25,57.0833333333,55.5833333333,57.6666666667,56.9666666667
54.25,55.5,58.25,57.0833333333,57.3833333333
53.6666666667,60.9166666667,58.9166666667,56.5,60.1333333333
53.6666666667,55.5,54.5833333333,58.0833333333,63.3
54.5,55.75,56,65.5833333333,64.9666666667
56.0833333333,56.8333333333,58,58.5,58.6333333333
53.25,55.0833333333,58.8333333333,61.25,55.9666666667
55.6666666667,56.9166666667,56.4166666667,59.9166666667,58.3833333333
53.9166666667,57.3333333333,58.6666666667,60.25,56.8
57.3333333333,55.6666666667,56,62.8333333333,58.2166666667
55.25,58.4166666667,55.8333333333,59.5833333333,58.4666666667
55.6666666667,55.75,61,56.0833333333,56.8833333333
55.6666666667,53.6666666667,58.5833333333,56.9166666667,57.8
54.0833333333,56.0833333333,61.1666666667,58.0833333333,57.3833333333
55.5,54.6666666667,57.25,58.5,57.4666666667
56.0833333333,57.0833333333,65,56.6666666667,58.6333333333
57.5,57.5833333333,59.3333333333,68,56.3833333333
56.9166666667,60.6666666667,56.8333333333,57.5,56.05
57.5,54.9166666667,55.5833333333,61.25,57.8
56.6666666667,68.75,61.3333333333,59.3333333333,54.55
54.5,55.5,56.8333333333,59.0833333333,57.8
57.5,57.0833333333,55,58.9166666667,59.2166666667
56.5,55.5,62,57.9166666667,57.3833333333
54.5,54.5,55,59.0833333333,57.3833333333
58.6666666667,56.9166666667,59.9166666667,67.4166666667,62.8833333333
55.25,55.0833333333,64.75,61.25,60.3833333333
53.9166666667,55.0833333333,56.0833333333,57.5,
