A1,A2,A3,A4,A5
53.0833333333,54.5,54.5833333333,58.0833333333,57.2166666667
55.6666666667,57.0833333333,57.4166666667,56.0833333333,57.2166666667
55.3333333333,54.6666666667,57,57.5,54.9666666667
55.0833333333,56.9166666667,56,55.9166666667,86.8833333333
56.9166666667,57.0833333333,54.4166666667,63.5833333333,53.9666666667
53.6666666667,55.5,59.3333333333,58.3333333333,58.8
56.5,56.5,59.0833333333,57.5,58.2166666667
61,54.75,59.75,58.3333333333,62.1333333333
53.0833333333,55.6666666667,57,58.3333333333,59.3
54.5,54.0833333333,58.25,57.9166666667,58.8
56.0833333333,56.0833333333,56.8333333333,58.9166666667,60.1333333333
54.6666666667,55.9166666667,58.5,85,61.3833333333
55.5,55.5,57.4166666667,58.3333333333,61.1333333333
54.5,55.9166666667,59.3333333333,65.4166666667,58.2166666667
56.5,56.0833333333,57.8333333333,56.6666666667,65.1333333333
54.5,54.5,56.4166666667,61.5,60.3833333333
55.25,54.6666666667,55.8333333333,60.75,57.9666666667
56.5,55.75,57.8333333333,57.0833333333,62.4666666667
58.25,54.3333333333,53.75,60.3333333333,59.7166666667
55.0833333333,54.9166666667,56.4166666667,60.1666666667,61.8
57.0833333333,56.5,55.8333333333,57.3333333333,57.3833333333
55.3333333333,55.5,56.8333333333,62.0833333333,60.55
56.5,55.0833333333,59.1666666667,58.9166666667,67.1333333333
56.5,55.3333333333,61.3333333333,61.0833333333,86.7166666667
55.5,56.0833333333,56.4166666667,57.0833333333,61.9666666667
56.25,58,59.3333333333,56.6666666667,65.9666666667
56.9166666667,55.0833333333,59.75,59.0833333333,58.05
54.0833333333,59.8333333333,59.9166666667,57.5,60.55
55.6666666667,55.5,56.8333333333,66.4166666667,63.6333333333
57.9166666667,54.0833333333,58.4166666667,59.0833333333,59.55
56.9166666667,55.9166666667,57.4166666667,59.75,63.8833333333
54.6666666667,55.25,55.5833333333,60.6666666667,57.8833333333
57.9166666667,57.0833333333,60.3333333333,60.1666666667,63.3
54.3333333333,57.75,59.3333333333,57.75,61.3833333333
56.5,57.4166666667,66.5,63.3333333333,80.55
56.75,59.9166666667,55.8333333333,56.0833333333,63.4666666667
54.9166666667,56.5,57.5833333333,62.8333333333,56.2166666667
55.25,59.5,59,58.9166666667,55.3833333333
57.1666666667,55.0833333333,60.3333333333,61.0833333333,59.7166666667
56.0833333333,60.25,57.8333333333,61.25,66.05
54.6666666667,54.0833333333,58.0833333333,63.25,59.4666666667
54.0833333333,56.1666666667,56,59.25,61.3833333333
55.5,56.5,69.25,61.5,57.05
57.0833333333,55.9166666667,58,63.5833333333,56.3833333333
85.5833333333,57.5,57,59.8333333333,59.6333333333
55.6666666667,56.9166666667,56.1666666667,62,59.3
54.0833333333,56.0833333333,55.5833333333,63.4166666667,63.8833333333
56.5,56.0833333333,64.8333333333,58.75,61.55
55.5,61.6666666667,57.4166666667,61.25,57.8
59.4166666667,54.6666666667,60.1666666667,57.3333333333,56.3833333333
59,55.0833333333,54,58.1666666667,60.3833333333
55.9166666667,57.5,56.6666666667,63.0833333333,59.1333333333
56.0833333333,56.9166666667,56,56.0833333333,60.1333333333
56.1666666667,56.6666666667,57.8333333333,61.25,58.05
58.8333333333,56.0833333333,59.3333333333,61.4166666667,56.2166666667
56.3333333333,56.0833333333,56.1666666667,58.0833333333,56.05
55.5,55.3333333333,57.25,58.9166666667,57.3833333333
57.5,56.9166666667,57.4166666667,58.0833333333,59.8833333333
53.6666666667,56.3333333333,56.5833333333,56.9166666667,59.8833333333
55.5,59.5,57.8333333333,55.6666666667,58.2166666667
56.9166666667,57.9166666667,58.6666666667,61.4166666667,62.8
57.5,56.9166666667,82.9166666667,57.5,59.3833333333
57.8333333333,54.5,61,58.5,60.3833333333
54.25,56.75,58.8333333333,60.0833333333,60.9666666667
